1;01/05/2024 19:37:32�E�;;;;;;Conexi�n establecida;;;
2;01/05/2024 19:37:32�C�;;;;;;Se ha iniciado la grabaci�n, Host=GROPO�;;;
3;01/05/2024 19:38:26 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;73 26 1C | Wednesday, 19:38:28;6;GroupValueWrite;LL_ACK
4;01/05/2024 19:38:26 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
5;01/05/2024 19:39:51 a  S=4;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 90 | 16,8;6;GroupValueWrite;LL_ACK
6;01/05/2024 19:40:53 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 A4 | 17;6;GroupValueWrite;LL_ACK
7;01/05/2024 19:41:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 3A | 18,5;6;GroupValueWrite;LL_ACK
8;01/05/2024 19:42:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 3A | 18,5;6;GroupValueWrite;LL_ACK
9;01/05/2024 19:42:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
10;01/05/2024 19:42:22 a  S=6;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 BC | 19,8;6;GroupValueWrite;LL_ACK
11;01/05/2024 19:43:02 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/5/5;ZONA 5 - ON/OFF TERMOSTATO;$01 | Encender;6;GroupValueWrite;LL_ACK
12;01/05/2024 19:43:02 a  S=2;Bajo;1.1.6;Z35 ZONA 5;1/5/6;ZONA 5 - ON/OFF TERMOSTATO�;$01 | Encender;6;GroupValueWrite;LL_ACK
13;01/05/2024 19:43:02 a  S=4;Bajo;1.1.6;Z35 ZONA 5;1/5/7;ZONA 5 - ON/OFF DEMANDA;$01 | Encender;6;GroupValueWrite;LL_ACK
14;01/05/2024 19:43:02 a  S=6;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;06 A4 | 17;6;GroupValueWrite;LL_ACK
15;01/05/2024 19:43:02 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;06 A4 | 17;6;GroupValueWrite;LL_ACK
16;01/05/2024 19:43:02 a  S=2;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$00 | Apagar;6;GroupValueWrite;
17;01/05/2024 19:43:02 a  R S=3;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$00 | Apagar;6;GroupValueWrite;
18;01/05/2024 19:43:02 a  R S=4;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$00 | Apagar;6;GroupValueWrite;
19;01/05/2024 19:43:02 a  R S=5;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$00 | Apagar;6;GroupValueWrite;
20;01/05/2024 19:43:02 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/5/6;ZONA 5 - ON/OFF TERMOSTATO�;$01 | Encender;6;GroupValueWrite;LL_ACK
21;01/05/2024 19:43:05 a  S=0;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$00 | Apagar;6;GroupValueWrite;
22;01/05/2024 19:43:05 a  R S=1;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$00 | Apagar;6;GroupValueWrite;
23;01/05/2024 19:43:05 a  R S=2;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$00 | Apagar;6;GroupValueWrite;
24;01/05/2024 19:43:05 a  R S=3;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$00 | Apagar;6;GroupValueWrite;
25;01/05/2024 19:43:05 a  S=4;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 1A | 21;6;GroupValueWrite;LL_ACK
26;01/05/2024 19:43:05 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C 1A | 21;6;GroupValueWrite;LL_ACK
27;01/05/2024 19:43:06 a  S=0;Bajo;1.1.2;ZoningBOX 6;2/1/1;AA - ON/OFF;$01 | Encender;6;GroupValueWrite;LL_ACK
28;01/05/2024 19:43:06 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/2;AA - ON/OFF FB;$01 | Encender;6;GroupValueWrite;LL_ACK
29;01/05/2024 19:43:58 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 40 | 16;6;GroupValueWrite;LL_ACK
30;01/05/2024 19:43:58 a  S=6;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;07 D0 | 20;6;GroupValueWrite;LL_ACK
31;01/05/2024 19:43:58 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;07 D0 | 20;6;GroupValueWrite;LL_ACK
32;01/05/2024 19:44:19 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 A4 | 17;6;GroupValueWrite;LL_ACK
33;01/05/2024 19:44:19 a  S=4;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 1A | 21;6;GroupValueWrite;LL_ACK
